idade,tempo_cliente_meses,genero,tipo_contrato,tipo_internet,valor_mensal,valor_total,num_servicos_extra,suporte_tecnico,pagamento_automatico,forma_pagamento,num_reclamacoes_12m,atrasos_pagamento_12m,uso_dados_gb,churn
61,53,M,mensal,nenhuma,27.75,1515.91,0,nao,nao,pix,1,0,393.6,1
39,37,F,anual,fibra,115.51,4219.38,4,sim,sim,debito_automatico,0,2,110.5,0
26,29,F,mensal,dsl,61.55,1571.73,3,nao,nao,boleto,0,0,154.4,1
42,14,F,mensal,dsl,104.85,1464.91,7,nao,sim,boleto,2,1,108.6,0
51,56,M,bianual,dsl,60.24,3355.94,2,sim,sim,cartao_credito,1,2,76.6,1
20,46,M,anual,dsl,89.16,4095.04,5,sim,nao,boleto,3,1,116.1,0
22,43,M,anual,dsl,56.94,2250.04,0,nao,sim,debito_automatico,1,1,75.5,1
74,14,F,mensal,dsl,63.68,889.7,1,nao,sim,cartao_credito,0,1,87.0,0
20,9,M,mensal,nenhuma,95.87,876.04,7,nao,sim,cartao_credito,1,0,81.2,0
43,9,F,anual,fibra,117.86,975.27,3,nao,nao,pix,3,0,82.1,0
65,2,F,mensal,fibra,153.27,273.31,6,sim,nao,boleto,1,2,50.5,1
38,70,M,anual,dsl,116.72,8395.71,7,nao,sim,debito_automatico,1,0,144.7,0
48,27,F,anual,fibra,154.69,4068.62,7,nao,sim,cartao_credito,0,0,113.8,0
23,48,F,mensal,fibra,87.13,3939.99,0,sim,sim,debito_automatico,1,1,48.9,0
67,71,F,bianual,nenhuma,24.4,1777.35,1,sim,sim,pix,0,3,79.6,0
57,68,M,bianual,fibra,126.41,7540.32,5,sim,sim,debito_automatico,2,1,34.6,0
70,24,M,anual,fibra,145.91,3544.27,7,nao,sim,boleto,2,1,97.5,0
71,36,F,bianual,dsl,105.97,3617.17,7,nao,sim,cartao_credito,1,1,167.6,0
39,34,M,anual,fibra,121.99,3560.79,5,nao,nao,cartao_credito,2,3,65.6,1
20,3,F,mensal,fibra,93.33,292.46,0,sim,nao,debito_automatico,2,1,142.5,1
39,56,M,mensal,fibra,121.96,6868.1,5,nao,nao,cartao_credito,1,3,82.5,1
27,42,F,mensal,fibra,93.73,3515.25,2,sim,nao,cartao_credito,3,1,67.9,1
51,27,F,mensal,fibra,129.02,3604.56,6,nao,sim,cartao_credito,0,0,46.4,1
27,41,M,anual,dsl,85.13,3619.71,4,nao,nao,debito_automatico,1,2,73.4,0
75,53,M,bianual,fibra,90.07,4821.89,1,nao,sim,cartao_credito,1,1,145.5,1
55,2,F,mensal,fibra,136.18,238.43,6,sim,nao,boleto,2,1,107.1,0
